TICKER,EMPRESA,SETOR ECONÔMICO,SUBSETOR,SEGMENTO
BTTL3,Battistella Adm Participacoes S.A.,Bens Industriais,Comércio,Material de Transporte
MMAQ3,Minasmaquinas S.A.,Bens Industriais,Comércio,Material de Transporte
MMAQ4,Minasmaquinas S.A.,Bens Industriais,Comércio,Material de Transporte
WLMM3,Wlm Part. E Comercio De Maquinas E Veiculos S.A.,Bens Industriais,Comércio,Material de Transporte
WLMM4,Wlm Part. E Comercio De Maquinas E Veiculos S.A.,Bens Industriais,Comércio,Material de Transporte
AZEV3,Azevedo E Travassos S.A.,Bens Industriais,Construção e Engenharia,Construção Pesada
AZEV4,Azevedo E Travassos S.A.,Bens Industriais,Construção e Engenharia,Construção Pesada
SOND3,Sondotecnica Engenharia Solos S.A.,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
SOND5,Sondotecnica Engenharia Solos S.A.,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
SOND6,Sondotecnica Engenharia Solos S.A.,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
TCNO3,Tecnosolo Engenharia S.A.,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
TCNO4,Tecnosolo Engenharia S.A.,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
ETER3,Eternit S.A.,Bens Industriais,Construção e Engenharia,Produtos para Construção
HAGA3,Haga S.A. Industria E Comercio,Bens Industriais,Construção e Engenharia,Produtos para Construção
HAGA4,Haga S.A. Industria E Comercio,Bens Industriais,Construção e Engenharia,Produtos para Construção
PTBL3,Pbg S/A,Bens Industriais,Construção e Engenharia,Produtos para Construção
MILS3,Mills Estruturas E Servicos De Engenharia S.A.,Bens Industriais,Construção e Engenharia,Serviços Diversos
TASA3,Taurus Armas S.A.,Bens Industriais,Máquinas e Equipamentos,Armas e Munições
TASA4,Taurus Armas S.A.,Bens Industriais,Máquinas e Equipamentos,Armas e Munições
MTSA3,Metisa Metalurgica Timboense S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
MTSA4,Metisa Metalurgica Timboense S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
STTR3,Stara S.A. - Industria De Implementos Agricolas,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
AERI3,Aeris Ind. e Com. de Equip. Geração de Energia S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
BDLL3,Bardella S.A. Industrias Mecanicas,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
BDLL4,Bardella S.A. Industrias Mecanicas,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
EALT3,Electro Aco Altona S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
EALT4,Electro Aco Altona S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
FRIO3,Metalfrio Solutions S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
INEP3,Inepar S.A. Industria E Construcoes,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
INEP4,Inepar S.A. Industria E Construcoes,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
KEPL3,Kepler Weber S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
NORD3,Nordon Industrias Metalurgicas S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
PTCA11,Pratica Klimaquip Industria E Comercio SA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
PTCA3,Pratica Klimaquip Industria E Comercio SA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
ROMI3,Industrias Romi S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
SHUL3,Schulz S.A.,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
SHUL4,Schulz S.A.,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
WEGE3,Weg S.A.,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
EMBR3,Embraer S.A.,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa
FRAS3,Fras-Le S.A.,Bens Industriais,Material de Transporte,Material Rodoviário
MWET3,Wetzel S.A.,Bens Industriais,Material de Transporte,Material Rodoviário
MWET4,Wetzel S.A.,Bens Industriais,Material de Transporte,Material Rodoviário
POMO3,Marcopolo S.A.,Bens Industriais,Material de Transporte,Material Rodoviário
POMO4,Marcopolo S.A.,Bens Industriais,Material de Transporte,Material Rodoviário
RAPT3,Randon S.A. Implementos E Participacoes,Bens Industriais,Material de Transporte,Material Rodoviário
RAPT4,Randon S.A. Implementos E Participacoes,Bens Industriais,Material de Transporte,Material Rodoviário
RCSL3,Recrusul S.A.,Bens Industriais,Material de Transporte,Material Rodoviário
RCSL4,Recrusul S.A.,Bens Industriais,Material de Transporte,Material Rodoviário
RSUL3,Metalurgica Riosulense S.A.,Bens Industriais,Material de Transporte,Material Rodoviário
RSUL4,Metalurgica Riosulense S.A.,Bens Industriais,Material de Transporte,Material Rodoviário
TUPY3,Tupy S.A.,Bens Industriais,Material de Transporte,Material Rodoviário
ALPK3,Allpark Empreendimentos Participacoes Servicos S.A,Bens Industriais,Serviços Diversos,Serviços Diversos
ATMP3,Atma Participacoes S.A.,Bens Industriais,Serviços Diversos,Serviços Diversos
BBML3,Bbm Logistica S.A.,Bens Industriais,Serviços Diversos,Serviços Diversos
CARD3,Csu Cardsystem S.A.,Bens Industriais,Serviços Diversos,Serviços Diversos
